listing_creator,listing_id,asset_contract,token_id,buyer,quantity_bought,total_price_paid,gas_price,gas_used,block_number,timestamp,transaction_hash,event_type
0xa976A5990cd43cd72639Fa7056BB77Eaebe0A7C5,73693,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x8a89e9075dc6fbf51716d2b466c8e15a8f441de1,1,270000000000000,44693275,157678,4917292,1742969335,0x310b6e777a327bbe3bc06e4958adc13d57a02576a969d8fcbc0bfd0008ef0d71,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44725423,161354,4917304,1742969359,0x8428476acaef850ef96c9a0c4754130b361654a43f01173cebfaef8e5d3193ed,NewSale
0x4B42391Baa84D0D412c2c89ba78d05304a7D679b,71390,0x02e21A25F0038fa5BDEe9c0b77aC0c1E84d3d6f0,1781,0x0cab9098a9e924c160cb7ed055b1499b5d9bcb55,1,700000000000000,44930000,155258,4917307,1742969365,0x78fb67381117f63fab0f9169be2d4da6258bf6d6311720142aa12875505e1841,NewSale
0xa976A5990cd43cd72639Fa7056BB77Eaebe0A7C5,73699,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x8a89e9075dc6fbf51716d2b466c8e15a8f441de1,1,270000000000000,44708036,140578,4917317,1742969385,0xe9442e46a97a0cfbd3e78327d8965aa56181b3688fbfd41b19c32b9b4de17e1e,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44604424,161354,4917323,1742969397,0x46c4fd7cf2589c2031ebbb8ae32847a3b8f0c1af286093a7bdb0b9f5c020e46a,NewSale
0x18613C7C626d793eDc94f145BCa9fD6cCd9566Df,73700,0xdc0F91C5a4D200FfC21658901c77c0fE1A14d199,0,0xce0f321e6d75972a4ac54da6a31b115032e465c0,1,630000000000000,44680000,145383,4917335,1742969421,0x58cfe41899dd1bddcb3844abc6e660440861c0db049b5e4ca638a6978177f80e,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,70984,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xea01fb473033ed0aea4f1ecc3c8bda41a2cf4134,1,289990000000000,44915244,142201,4917345,1742969441,0x6c5138ead28195e576fccb3f753ee1bce93deae7d1b0e93abf3c96d600f88a0c,NewSale
0x4B42391Baa84D0D412c2c89ba78d05304a7D679b,71391,0x02e21A25F0038fa5BDEe9c0b77aC0c1E84d3d6f0,1780,0x0cab9098a9e924c160cb7ed055b1499b5d9bcb55,1,700000000000000,45630000,138158,4917412,1742969575,0xb69b6c3c28b5d988a4caba27063e0e74e57c3419a39351e44d585394034221d7,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,45897706,154943,4917417,1742969585,0xa791aaf70cd84d0100b0097c1fb56795f4d7904c72b7e2e436e366c20f120069,NewSale
0x7216f5384dbc9e61f37349f3C08fb1Bd55e29EA9,73318,0xdc0F91C5a4D200FfC21658901c77c0fE1A14d199,0,0x896df273c0c6fd97230b83b21bd5b5d31dcb9d57,1,50000000000000000000,46140283,169830,4917421,1742969593,0x75b5ff05c22e47d4958f1af9a00a7ed2ecb76c46d04844b60c88b2a591483293,NewSale
0x41f07238C5096Eb7eb68c50FE8AE5AdDECBBF5C2,69845,0xbFCACb23F0B41EeEDFf7d04f52CE8f5125150806,8,0x2ac59b7af734834c30c61f703ebc9dc337dc1cbd,1,500000000000000,46419934,164783,4917457,1742969665,0xc585aba179a90aea25926edf770bc4f77d76d02737b3da9289f9905d300eacc2,NewSale
0xeF0Ef28b882d166B732d00A01Ea762B9CCd3FE44,73683,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xcec925d74ec57c4d69159e6c3693f992dfd61297,1,280000000000000,46208245,159289,4917469,1742969689,0x2a6258e5433e81d9fcf93ebf1b66c02db2b1c3cdda9b4a2662cf5942b78c6b20,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,70984,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xea01fb473033ed0aea4f1ecc3c8bda41a2cf4134,1,289990000000000,46194176,142201,4917478,1742969707,0xf86206396c485a73a9dc7c691a3759a120656420943d923d000f8d670c836e4d,NewSale
0x35467a1eA60383a0AE46aE683c368414d7F17DA6,73735,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0x9fc440a1185497a988443d5ca151d8e0127995b7,1,260000000000000,45528444,135778,4917493,1742969737,0x766011d78ffb33c7665f71e7f6c43b6ec0da3033e757375389caf91e79b8cdf9,NewSale
0xa976A5990cd43cd72639Fa7056BB77Eaebe0A7C5,73686,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x8a89e9075dc6fbf51716d2b466c8e15a8f441de1,1,260000000000000,45291129,135778,4917519,1742969789,0x30cb0043b1bfe05e96cc8d8ad53dceb7a8b85dfbd893f541e8dd789ece9c43a4,NewSale
